Author,Title,Place of Publication,Year,Printer,Genre
Agreda y Vargas,Los mas fieles amantes Leucippe y Clitofonte,Madrid,1617,Cuesta,Prose
"Aleman, Mateo",Primaera parte de Guzman de Alfarache,Barcelona,1599,Cormellas,Prose
"Aleman, Mateo",Guzman de Alfarache,Madrid,1599,Varez de Castro,Prose
"Aleman, Mateo",Guzman de Alfarache,Zaragoza,1599,Valdivielso,Prose
"Aleman, Mateo",Guzman de Alfarache,Barcelona,1599,Cormellas,Prose
"Aleman, Mateo",Guzman de Alfarache,Barcelona,1600,Cormellas,Prose
"Aleman, Mateo",Guzman de Alfarache,Paris,1600,Bonfond,Prose
"Aleman, Mateo",Guzman de Alfarache,Bruselas,1600,Velpio,Prose
"Aleman, Mateo",Guzman de Alfarache,Madrid,1600,Varez de Castro,Prose
"Aleman, Mateo",Guzman de Alfarache,Madrid,1600,Yniquez de Lequerica,Prose
"Aleman, Mateo",Guzman de Alfarache,Coimbra,1600,Gomez,Prose
"Aleman, Mateo",Guzman de Alfarache,Lisboa,1600,Rodriguez,Prose
"Aleman, Mateo",Guzman de Alfarache,Bruselas,1600,Mommarte,Prose
"Aleman, Mateo",Guzman de Alfarache,Madrid,1601,Martinez,Prose
"Aleman, Mateo",Guzman de Alfarache,Sevilla,1602,Leon,Prose
"Aleman, Mateo",Guzman de Alfarache,Milan,1603,Bordon,Prose
"Aleman, Mateo",Guzman de Alfarache,Barcelona,1603,Cormellas,Prose
"Aleman, Mateo",Guzman de Alfarache,Zaragoza,1603,Tavano,Prose
"Aleman, Mateo",Guzman de Alfarache,Tarragona,1603,Roberto,Prose
"Aleman, Mateo",Guzman de Alfarache,Bruselas,1604,Velpio,Prose
"Aleman, Mateo",Guzman de Alfarache,Bruselas,1604,Mommarte,Prose
"Aleman, Mateo",Guzman de Alfarache,Venetia,1606,Barezzi,Prose
"Aleman, Mateo",Guzman de Alfarache,Milan,1615,Bidelo,Prose
"Aleman, Mateo",Guzman de Alfarache,Venetia,1615,,Prose
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Milan,1603,Bordon,Prose
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Salamanca,1603,Renaut,Prose
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Lisboa,1604,Crasbeeck,Prose
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Bruselas,1604,Mommarte,Prose
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Lisboa,1605,Crasbeeck,Prose
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Valencia,1605,Mey,Prose
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Barcelona,1605,Cormellas,Prose
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Milan,1615,Bidelo,Prose
"Arce Solorzano, Juan",Tragedias de amor,Madrid,1607,Cuesta,Prose
"Balbuena, Bernardo de",Siglo de Oro en las selvas de Erifile,Madrid,1608,Martin,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Madrid,1605,Cuesta,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Madrid,1605,Cuesta,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Lisboa,1605,Rodriguez,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Lisboa,1605,Crasbeeck,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Valcencia,1605,Mey,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Bruselas,1607,Velpio,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Madrid,1608,Cuesta,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Bruselas,1611,Velpio,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Valencia,1616,Crasbeeck,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Bruselas,1617,Antonio,Prose
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Barcelona,1617,Sorita,Prose
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Madrid,1617,Cuesta,Prose
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Madrid,1617,Cuesta,Prose
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Pamplona,1617,Assiayn,Prose
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Barcelona,1617,Sorita,Prose
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Valencia,1617,Mey,Prose
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Paris,1617,Richer,Prose
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Lisboa,1617,Rodriguez,Prose
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Bruselas,1618,,Prose
"Cervantes Saavedra, Miguel",Novelas ejemplares,Madrid,1613,Cuesta,Prose
"Cervantes Saavedra, Miguel",Novelas ejemplares,Pamplona,1614,Assiayn,Prose
"Cervantes Saavedra, Miguel",Novelas ejemplares,Madrid,1614,Cuesta,Prose
"Cervantes Saavedra, Miguel",Novelas ejemplares,Bruselas,1614,Velpio,Prose
"Cervantes Saavedra, Miguel",Novelas ejemplares,Milan,1615,Bidelo,Prose
"Cervantes Saavedra, Miguel",Novelas ejemplares,Pamplona,1615,Assiayn,Prose
"Cervantes Saavedra, Miguel",Novelas ejemplares,Pamplona,1617,Assiayn,Prose
"Cervantes Saavedra, Miguel",Novelas ejemplares,Madrid,1617,,Prose
"Cervantes Saavedra, Miguel",Novelas ejemplares,Lisboa,1617,,Prose
"Cervantes Saavedra, Miguel",Novelas ejemplares,Paris,1618,Richer,Prose
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Madrid,1615,Cuesta,Prose
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Valencia,1616,Mey,Prose
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Bruselas,1616,Antonio,Prose
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Lisboa,1617,Rodriguez,Prose
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Barcelona,1617,Sorita,Prose
"Cespedes y Meneses, Gonzalo",El espanol Gerardo,Madrid,1615,Sanchez,Prose
"Cespedes y Meneses, Gonzalo",El espanol Gerardo,Barcelona,1618,Cormellas,Prose
El Inca Garcilaso,Comentarios reales,Lisboa,1608,Crasbeeck,Prose
El Inca Garcilaso,Historia general del Peru,Cordoba,1616,Barrera,Prose
El Inca Garcilaso,La Florida del Inca,Lisboa,1605,Crasbeeck,Prose
El Inca Garcilaso,La Florida del Inca,Madrid,1617,Sanchez,Prose
"Espinel, Vicente",La vida del escudero Marcos de Obregon,Madrid,1618,Cuesta,Prose
"Espinel, Vicente",La vida del escudero Marcos de Obregon,Barcelona,1618,Cormellas,Prose
"Espinel, Vicente",La vida del escudero Marcos de Obregon,Paris,1618,,Prose
"Fernandez de Avellaneda, Alonso",Segundo tomo del ingenioso hidalgo Don Quixote de la Mancha,Tarragona,1614,Roberto,Prose
"Guzman, Pedro de",Historia de la entrada de la cristiandad en Japon y China,Valladolid,1613,Godinez,Prose
Herrera y Tordesillas,Decadas 1-4,Madrid,1601,,Prose
Herrera y Tordesillas,Decadas 5-8,Madrid,1615,,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1598,Sanchez,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1599,Montoya/Sanchez?,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1599,Sanchez,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Barcelona,1602,Cormellas,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Valencia,1602,Crisostomo,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1603,Madrigal,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1605,Cuesta,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Anvers,1605,Nucio,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1611,Martin,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Lerida,1612,Manescal,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Barcelona,1615,Cormellas,Prose
"Lope de Vega Carpio, Fenix",Arcadia,Anvers,1617,V. de Bellero,Prose
