Author,Text,Place of Publication,Date,Printer
"Aleman, Mateo",Guzman de Alfarache,Madrid,1601,Martinez
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Salamanca,1603,Renaut
"Aleman, Mateo",Guzman de Alfarache,Madrid,1600,Yniquez de Lequerica
"Salas Barbadillo, Alonso Jeronimo",Patrona de Madrid restituyda,Madrid,1609,Martin
"Aleman, Mateo",Guzman de Alfarache,Bruselas,1600,Velpio
"Aleman, Mateo",Guzman de Alfarache,Coimbra,1600,Gomez
"Aleman, Mateo",Guzman de Alfarache,Lisboa,1600,Rodriguez
"Aleman, Mateo",Guzman de Alfarache,Milan,1603,Bordon
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Milan,1603,Bordon
"Arce Solorzano, Juan",Tragedias de amor,Madrid,1607,Cuesta
"Balbuena, Bernardo de",Siglo de Oro en las selvas de Erifile,Madrid,1608,Martin
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Lisboa,1605,Rodriguez
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Lisboa,1605,Crasbeeck
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Valcencia,1605,Mey
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Bruselas,1607,Velpio
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Madrid,1608,Cuesta
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Bruselas,1617,Antonio
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Barcelona,1617,Sorita
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Pamplona,1617,Assiayn
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Barcelona,1617,Sorita
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Bruselas,1618,
"Cervantes Saavedra, Miguel",Novelas ejemplares,Madrid,1613,Cuesta
"Cervantes Saavedra, Miguel",Novelas ejemplares,Pamplona,1614,Assiayn
"Cervantes Saavedra, Miguel",Novelas ejemplares,Bruselas,1614,Velpio
"Cervantes Saavedra, Miguel",Novelas ejemplares,Milan,1615,Bidelo
"Cervantes Saavedra, Miguel",Novelas ejemplares,Pamplona,1615,Assiayn
"Cervantes Saavedra, Miguel",Novelas ejemplares,Pamplona,1617,Assiayn
"Cervantes Saavedra, Miguel",Novelas ejemplares,Madrid,1617,
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Bruselas,1616,Antonio
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Lisboa,1617,Rodriguez
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Barcelona,1617,Sorita
"Cespedes y Meneses, Gonzalo ",El espanol Gerardo,Madrid,1615,Sanchez
"Cespedes y Meneses, Gonzalo ",El espanol Gerardo,Barcelona,1618,Cormellas
El Inca Garcilaso,Comentarios reales,Lisboa,1608,Crasbeeck
