,,,,,,,,,,,,,role,,top_place,,,Modularity Class
282,282,Sebastiao Pereira,{'Ficcion': 1},{'1604-12-04': 1},Ficcion,Persona,1604,{u'Lisboa': 1},,,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Lisboa,,,0
160,160,Barbosa,"{'Teatro': 1, 'Poesia': 1}","{'1610-11-19': 1, '1611-01-14': 1, '1612-01-30': 1}",Teatro,Persona,1611,{u'Lisboa': 3},,,{u'Privilegio/Licencia': 3},Poesia,signatory,{'True': 1},Lisboa,,,1
281,281,"Luis de Valdes, Alferez",{'Ficcion': 1},{'': 1},Ficcion,Persona,,{'': 1},,,{u'Otro documento': 1},,signatory,{'True': 1},,,,0
283,283,"Juan de Mendoza y Velasco, Marques de San German",{'Ficcion': 1},{'': 1},Ficcion,Persona,,{'': 1},{u'Marquesado de San German': 1},,{'dedicatory': 1},,patron,{'True': 1},,"{'Comendador del Campo de Montiel, Gentilhombre de la Camara del Rey, Teniente General de las Guardas y Caballerias de Espana, Capital General de los Reinos de Portugal': 1}",,0
209,209,Ruy Pirez da Veiga,"{'Historia': 2, 'Teatro': 2, 'Ficcion': 6, 'Poesia': 1}","{'1604-12-04': 1, '1604-09-09': 1, '1605-03-01': 1, '1605-03-29': 1, '1603-02-26': 1, '1604-08-31': 1, '1609-12-16': 1, '1600-01-04': 1, '1612-01-27': 1, '1600-01-18': 1, '1604-11-23': 1}",Ficcion,Persona,1604,{u'Lisboa': 11},{u'Consejo de Portugal': 1},,{u'Privilegio/Licencia': 11},Historia,signatory,{'True': 1},Lisboa,,,0
39,39,Pedro Crasbeeck,"{'Historia': 2, 'Teatro': 1, 'Ficcion': 2}","{'1612-01-30': 1, '1605-03-08': 1, '1604-12-04': 1, '1605-03-29': 1, '1609-09-02': 1}",Historia,Persona,1607,{u'Lisboa': 5},,,{u'Impresion': 5},Ficcion,printer/editor,{'True': 1},Lisboa,,,0
337,337,Damiao d'Aguiar,"{'Historia': 2, 'Ficcion': 1}","{'1605-03-27': 1, '1605-03-25': 1, '1605-02-21': 1}",Historia,Persona,1605,{u'Lisboa': 3},{u'Consejo de Inquisicion': 1},,{u'Privilegio/Licencia': 3},Ficcion,signatory,{'True': 1},Lisboa,,,0
352,352,Marcos Teixiera,"{'Historia': 2, 'Teatro': 1, 'Ficcion': 6, 'Poesia': 1}","{'1604-12-04': 1, '1604-09-09': 1, '1605-03-01': 1, '1609-09-23': 1, '1603-02-26': 1, '1604-08-31': 1, '1600-01-04': 1, '1605-03-29': 1, '1600-01-18': 1, '1604-11-23': 1}",Ficcion,Persona,1603,{u'Lisboa': 10},{u'Consejo de Portugal': 1},,{u'Privilegio/Licencia': 10},Historia,signatory,{'True': 1},Lisboa,,,0
159,159,Magalhanes,"{'Teatro': 1, 'Poesia': 1}","{'1610-11-19': 1, '1611-01-14': 1, '1612-01-30': 1}",Teatro,Persona,1611,{u'Lisboa': 3},,,{u'Privilegio/Licencia': 3},Poesia,signatory,{'True': 1},Lisboa,,,1
339,339,Sarayua,"{'Historia': 1, 'Teatro': 1, 'Poesia': 1}","{'1612-01-27': 1, '1610-11-24': 1, '1609-09-02': 1}",Historia,Persona,1610,"{'': 1, u'Lisboa': 2}",{u'Consejo de Inquisicion': 1},,{u'Privilegio/Licencia': 3},Teatro,signatory,{'True': 1},Lisboa,,,1
