Author,Text,Place of Publication,Date,Printer
Agreda y Vargas,Los mas fieles amantes Leucippe y Clitofonte,Madrid,1617,Cuesta
"Aleman, Mateo",Primaera parte de Guzman de Alfarache,Barcelona,1599,Cormellas
"Aleman, Mateo",Guzman de Alfarache,Madrid,1599,Varez de Castro
"Aleman, Mateo",Guzman de Alfarache,Zaragoza,1599,Valdivielso
"Aleman, Mateo",Guzman de Alfarache,Barcelona,1599,Cormellas
"Aleman, Mateo",Guzman de Alfarache,Barcelona,1600,Cormellas
"Aleman, Mateo",Guzman de Alfarache,Paris,1600,Bonfond
"Aleman, Mateo",Guzman de Alfarache,Bruselas,1600,Velpio
"Aleman, Mateo",Guzman de Alfarache,Madrid,1600,Varez de Castro
"Aleman, Mateo",Guzman de Alfarache,Madrid,1600,Yniquez de Lequerica
"Aleman, Mateo",Guzman de Alfarache,Coimbra,1600,Gomez
"Aleman, Mateo",Guzman de Alfarache,Lisboa,1600,Rodriguez
"Aleman, Mateo",Guzman de Alfarache,Bruselas,1600,Mommarte
"Aleman, Mateo",Guzman de Alfarache,Madrid,1601,Martinez
"Aleman, Mateo",Guzman de Alfarache,Sevilla,1602,Leon
"Aleman, Mateo",Guzman de Alfarache,Milan,1603,Bordon
"Aleman, Mateo",Guzman de Alfarache,Barcelona,1603,Cormellas
"Aleman, Mateo",Guzman de Alfarache,Zaragoza,1603,Tavano
"Aleman, Mateo",Guzman de Alfarache,Tarragona,1603,Roberto
"Aleman, Mateo",Guzman de Alfarache,Bruselas,1604,Velpio
"Aleman, Mateo",Guzman de Alfarache,Bruselas,1604,Mommarte
"Aleman, Mateo",Guzman de Alfarache,Venetia,1606,Barezzi
"Aleman, Mateo",Guzman de Alfarache,Milan,1615,Bidelo
"Aleman, Mateo",Guzman de Alfarache,Venetia,1615,
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Milan,1603,Bordon
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Salamanca,1603,Renaut
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Lisboa,1604,Crasbeeck
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Bruselas,1604,Mommarte
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Lisboa,1605,Crasbeeck
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Valencia,1605,Mey
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Barcelona,1605,Cormellas
"Aleman, Mateo",Segunda parte de la vida de Guzman de Alfarache,Milan,1615,Bidelo
"Arce Solorzano, Juan",Tragedias de amor,Madrid,1607,Cuesta
"Balbuena, Bernardo de",Siglo de Oro en las selvas de Erifile,Madrid,1608,Martin
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Madrid,1605,Cuesta
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Madrid,1605,CuestaPriv:Ara
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Lisboa,1605,Rodriguez
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Lisboa,1605,Crasbeeck
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Valcencia,1605,Mey
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Bruselas,1607,Velpio
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Madrid,1608,Cuesta
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Bruselas,1611,Velpio
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Valencia,1616,Crasbeeck
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Bruselas,1617,Antonio
"Cervantes Saavedra, Miguel",El ingenioso hidalgo don Quixote de la Mancha,Barcelona,1617,Sorita
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Madrid,1617,Cuesta
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Madrid,1617,Cuesta
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Pamplona,1617,Assiayn
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Barcelona,1617,Sorita
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Valencia,1617,Mey
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Paris,1617,Richer
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Lisboa,1617,Rodriguez
"Cervantes Saavedra, Miguel",Los trabajos de Persiles y Sigismunda,Bruselas,1618,
"Cervantes Saavedra, Miguel",Novelas ejemplares,Madrid,1613,Cuesta
"Cervantes Saavedra, Miguel",Novelas ejemplares,Pamplona,1614,Assiayn
"Cervantes Saavedra, Miguel",Novelas ejemplares,Madrid,1614,Cuesta
"Cervantes Saavedra, Miguel",Novelas ejemplares,Bruselas,1614,Velpio
"Cervantes Saavedra, Miguel",Novelas ejemplares,Milan,1615,Bidelo
"Cervantes Saavedra, Miguel",Novelas ejemplares,Pamplona,1615,Assiayn
"Cervantes Saavedra, Miguel",Novelas ejemplares,Pamplona,1617,Assiayn
"Cervantes Saavedra, Miguel",Novelas ejemplares,Madrid,1617,
"Cervantes Saavedra, Miguel",Novelas ejemplares,Lisboa,1617,
"Cervantes Saavedra, Miguel",Novelas ejemplares,Paris,1618,Richer
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Madrid,1615,Cuesta
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Valencia,1616,Mey
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Bruselas,1616,Antonio
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Lisboa,1617,Rodriguez
"Cervantes Saavedra, Miguel",Segunda parte del ingenioso caballero don Quixote de la Mancha,Barcelona,1617,Sorita
"Cespedes y Meneses, Gonzalo ",El espanol Gerardo,Madrid,1615,Sanchez
"Cespedes y Meneses, Gonzalo ",El espanol Gerardo,Barcelona,1618,Cormellas
El Inca Garcilaso,Comentarios reales,Lisboa,1608,Crasbeeck
El Inca Garcilaso,Historia general del Peru,Cordoba,1616,Barrera
El Inca Garcilaso,La Florida del Inca,Lisboa,1605,Crasbeeck
El Inca Garcilaso,La Florida del Inca,Madrid,1617,Sanchez
"Espinel, Vicente",La vida del escudero Marcos de Obregon,Madrid,1618,Cuesta
"Espinel, Vicente",La vida del escudero Marcos de Obregon,Barcelona,1618,Cormellas
"Espinel, Vicente",La vida del escudero Marcos de Obregon,Paris,1618,
"Fernandez de Avellaneda, Alonso",Segundo tomo del ingenioso hidalgo Don Quixote de la Mancha,Tarragona,1614,Roberto
"Guzman, Pedro de",Historia de la entrada de la cristiandad en Japon y China,Valladolid,1613,Godinez
Herrera y Tordesillas,Decadas 1-4,Madrid,1601,
Herrera y Tordesillas,Decadas 5-8,Madrid,1615,
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1598,Sanchez
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1599,Montoya/Sanchez?
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1599,Sanchez
"Lope de Vega Carpio, Fenix",Arcadia,Barcelona,1602,Cormellas
"Lope de Vega Carpio, Fenix",Arcadia,Valencia,1602,Crisostomo
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1603,Madrigal
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1605,Cuesta
"Lope de Vega Carpio, Fenix",Arcadia,Amberes,1605,Nucio
"Lope de Vega Carpio, Fenix",Arcadia,Madrid,1611,Martin
"Lope de Vega Carpio, Fenix",Arcadia,Lerida,1612,Manescal
"Lope de Vega Carpio, Fenix",Arcadia,Barcelona,1615,Cormellas
"Lope de Vega Carpio, Fenix",Arcadia,Amberes,1617,V. de Bellero
"Lope de Vega Carpio, Fenix",Coloquio pastoril,Malaga,1615,Rene
"Lope de Vega Carpio, Fenix",Coloquio pastoril,Madrid,1615,Serrano
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Madrid,1604,
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Sevilla,1604,Hidalgo
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Madrid,1605,
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Barcelona,1604,Cormellas
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Barcelona,1604,Cormellas
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Barcelona,1605,Cormellas
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Bruselas,1608,Velpio
"Lope de Vega Carpio, Fenix",El peregrino en su patria,Madrid,1618,Martin
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Madrid,1612,Cuesta
"Lope de Vega Carpio, Fenix",Los pastores de Belen No la tengo,Lerida,1612,Manescal
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Lerida,1613,
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Pamplona,1612,Assiayn
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Madrid,1613,Martin
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Bruselas,1614,Velpio
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Alcala,1616,Gracian
"Lope de Vega Carpio, Fenix",Los pastores de Belen,Lerida,1617,Manescal
"Lopez de ubeda, Francisco",Libro de entretenimiento de la picara Justina,Medina,1605,Lasso Vaca
"Lopez de ubeda, Francisco",Libro de entretenimiento de la picara Justina,Valladolid,1605,
"Lopez de ubeda, Francisco",Libro de entretenimiento de la picara Justina,Barcelona,1605,Cormellas
"Lopez de ubeda, Francisco",Libro de entretenimiento de la picara Justina,Bruselas,1608,Brunello
"Loubayssin de Lamarca, Francisco",Enganos desde siglo,Paris,1615,Orry
"Loubayssin de Lamarca, Francisco",Historia de Don Enrique de Castro,,1617,Guillemont
"Lucas Hidalgo, Gaspar",Dialogos de apacible entretenimiento,Paris,1605,
"Lucas Hidalgo, Gaspar",Dialogos de apacible entretenimiento,Barcelona,1605,Cormellas
"Lucas Hidalgo, Gaspar",Dialogos de apacible entretenimiento,Barcelona,1609,Margarit
"Lucas Hidalgo, Gaspar",Dialogos de apacible entretenimiento,Bruselas,1610,Velpio
"Lucas Hidalgo, Gaspar",Dialogos de apacible entretenimiento,Madrid,1618,Martin
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Valencia,1602,
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Barcelona,1602,Amello
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Salamanca,1603,Renaut
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Madrid,1603,ImprentaReal
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Zaragoza,1603,Tavano
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Lisboa,1603,Rodriguez
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Milan,1603,Bordon
"Lujan de Sayavedra, Mateo",Segunda parte de la vida de Guzman de Alfarache,Bruselas,1604,Velpio
"Morejon, Pedro",Relacion de la persecucion,Caragosa,1617,Larombe
"Mercader, Gaspar",El prado de Valencia,Valencia,1600,
"Mercader, Gaspar",El prado de Valencia,Valencia,1601,Mey
"Mesa, Christobal de",Valle de lagrimas,Madrid,1607,Cuesta
"Ona, Pedro de ",El temblor de Lima,Lima,1609,Canto
"Ortunez de Calahorra, Diego",Espejo de pricipes y caballeros,Zaragoza,1617,Lanaja
"Pantoja, Diego de",Relacion de la entrada de algunos padres,Sevilla,1605,
"Rojas Villandrando, Agustin",El viaje entretenido,,1603,ImprentaReal
"Rojas Villandrando, Agustin",El viaje entretenido,Madrid,1604,ImprentaReal
"Rojas Villandrando, Agustin",El viaje entretenido,Lerida,1611,Manescal
"Rojas Villandrando, Agustin",El viaje entretenido,Lerida,1611,Manescal
"Rojas Villandrando, Agustin",El viaje entretenido,Salamanca,1611,Ramirez
"Rojas Villandrando, Agustin",El viaje entretenido,Madrid,1614,Martin
"Rojas Villandrando, Agustin",El viaje entretenido,Lerida,1615,Manescal
"Salas Barbadillo, Alonso Jeronimo",El caballero puntual,Madrid,1614,Vargas
"Salas Barbadillo, Alonso Jeronimo",El caballero puntual,Madrid,1616,Cuesta
"Salas Barbadillo, Alonso Jeronimo",La hija de Celestina,Zaragoza,1612,Sanchez
"Salas Barbadillo, Alonso Jeronimo",La hija de Celestina,Lerida,1612,Manescal
"Salas Barbadillo, Alonso Jeronimo",La hija de Celestina,Milan,1616,Bidelo
"Salas Barbadillo, Alonso Jeronimo",La ingeniosa Elena,Madrid,1614,Herrera
"Salas Barbadillo, Alonso Jeronimo",Patrona de Madrid restituyda,Madrid,1609,Martin
Saavedra y Guzman,El peregrino indiano,,,
"Sierra, Pedro de la ",Espejo de pricipes y caballeros Segunda parte,Zaragoza,1617,Cabarte
"Silva y Toledo, Juan de",Policisne de Beocia,Valladolid,1602,Yniquez de Lequerica
"Suarez de Figueroa, Cristobal",Historia y anal relacion de las cosas que hicieron los Padres,Madrid,1614,ImprentaReal
"Suarez de Figueroa, Cristobal",La constante Amarilis,Valencia,1609,???
"Suarez de Figueroa, Cristobal",La constante Amarilis,Lyon,1614,Montpesier
"Suarez de Figueroa, Cristobal",El pasajero,Madrid,1617,Sanchez
"Suarez de Figueroa, Cristobal",El pasajero,Barcelona,1618,Margarit
"Torquemada, Juan de",Monarquia indiana,Sevilla,1615,Clavijo
"Balbuena, Bernardo de",La grandeza mexicana,Mexico,1604,Ocharte
"Balbuena, Bernardo de",La grandeza mexicana,Mexico,1604,Lopez
"Barco Centenera, Martin del",Argentina,Lisboa,1602,Crasbeeck
"Belmont bermudez, Luis",Vida del Padre maestro Ignacio de Loyola,Mexico,1609,
Bermudez,El Narciso,Lisboa,1618,
"Cervantes Saavedra, Miguel",Viaje del Parnaso,Madrid,1614,Martin
,Laberinto amoroso de los mejores y mas nuevos romances,Barcelona,1618,Cormellas
Claramonte,Letania moral,Sevilla,1613,Clauxio
Davalos y Figueroa,Miscelana austral,Lima,1602,Ricardo
Davalos y Figueroa,Miscelana austral con Defensa de damas por el mismo,Lima,1603,Ricardo
,El jardin de amadores,Valladolid,1605,
,El jardin de amadores,Zaragoza,1611,Larumbe
"Eslava, Antonio de",Noches de invierno,Barcelona,1609,Margarit
"Eslava, Antonio de",Noches de invierno,Pamplona,1609,Labayen
"Eslava, Antonio de",Noches de invierno,Bruselas,1610,Velpius
,Flores de poetas ilustres,Valladolid,1605,Sanchez
"Hojeda, Fray Diego de",La Cristiada,Sevilla,1611,Perez
"Jauregui, Juan de ",Rimas,Sevilla,1618,Valleto
"Lope de Vega Carpio, Fenix",Al Santissimo Sacramento,Toledo,1609,Rodriguez
"Lope de Vega Carpio, Fenix",Al Santissimo Sacramento,Sevilla,1615,
