;Juan Bellero;Pedro Bellero;Augustin de Vergara;Carlos Felix de Vega;Pedro Zapata del Marmol;Miguel Menescal;Juan de Arguijo;Jorge de Tovar Berrio;Alonso Ordonez de San Pedro;Pedro Rodriguez;Pedro Lopez de Ayala, VI conde de Fuensalida;Clemente Hidalgo;Roig;Petrus Joannes Assensius;Francisco Miguel;Baltasar Eliseo de Medinilla;Jaime Rebullosa;Pedro Tellez-Giron y Velasco, Duque de Osuna;Alonso Martin;Juan de Bruschere;Alonso Gomez de encinas, Fray;Gabriel de Nao;Juan Gracian Dantisco;Juan Luis de la Cerda;Miguel de Ondarza Zabala;Juan de Bostillo;Felix Lope de Vega Carpio;Casilda de Guana Varona;Viuda de Pedro Bellero;Tomas Roca, Fray;Martin Nucio;Gaspar Leget;Valerian Boyl;Felipe III, Rey de Espana y Portugal;Antonio de Herrera;Francisco Pacheco;Conde de Saldana;Pedro Madrigal;Antonio de Saavedra Guzman;Alonso Vaca de Santiago;Alonso Perez;Alonso de Vallejo;Juan Gracian;Geronimo Alarcon;Pedro de Padilla, Fray;Francisco Martinez;Bernardo Grassa;Luis Sanchez;Antonio Ramirez de Prado;Domingo de Mendoza, Fray;Luis de Salazar
Juan Bellero;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0
Pedro Bellero;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0
Augustin de Vergara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0.16666667;0;0;0.16666667;0.29166666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0.16666667;0;0;0;0
Carlos Felix de Vega;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.41666666;0.16666667;0;0.41666666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedro Zapata del Marmol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6166667;0.16666667;0;0;0;0;0;0;0;0.6166667;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16666667;0;0;0;0.6166667;0;0;0.25;0;0;0
Miguel Menescal;0;0;0;0;0;0;0.33333334;0;0;0;0;0;0;0;0;0;0.33333334;0;0;0;0;0;0;0;0;0;0.33333334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Juan de Arguijo;0;0;0;0;0;0.33333334;0;0;0;0;0;0;0;0;0;0;0.5833333;0;0;0;0;0;0;0;0;0;0.5833333;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0.25;0;0;0;0;0
Jorge de Tovar Berrio;0;0;0;0;0;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alonso Ordonez de San Pedro;0;0;0;0;0;0;0;0.2;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedro Rodriguez;0;0;0;0;0;0;0;0.2;0.2;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
